year,film,winner
1968,Oliver! (film),1
1968,Finian's Rainbow (1968 film),0
1968,Funny Girl (film),0
1968,The Odd Couple (film),0
1968,"Yours, Mine and Ours (1968 film)",0
1969,The Secret of Santa Vittoria,1
1969,Cactus Flower (film),0
1969,"Goodbye, Columbus (film)",0
1969,"Hello, Dolly! (film)",0
1969,Paint Your Wagon (film),0
1970,MASH (film),1
1970,Darling Lili,0
1970,Diary of a Mad Housewife,0
1970,Lovers and Other Strangers,0
1970,Scrooge (1970 film),0
1971,Fiddler on the Roof (film),1
1971,The Boy Friend (1971 film),0
1971,Kotch,0
1971,A New Leaf (film),0
1971,Plaza Suite (film),0
1972,Cabaret (1972 film),1
1972,Avanti!,0
1972,Butterflies Are Free,0
1972,1776 (film),0
1972,Travels with My Aunt (film),0
1973,American Graffiti,1
1973,Jesus Christ Superstar (film),0
1973,Paper Moon (film),0
1973,Tom Sawyer (1973 film),0
1973,A Touch of Class (film),0
1974,The Longest Yard (1974 film),1
1974,The Front Page (1974 film),0
1974,Harry and Tonto,0
1974,The Little Prince (1974 film),0
1974,The Three Musketeers (1973 live-action film),0
1975,The Sunshine Boys (1975 film),1
1975,Funny Lady,0
1975,The Return of the Pink Panther,0
1975,Shampoo (film),0
1975,Tommy (1975 film),0
1976,A Star Is Born (1976 film),1
1976,Bugsy Malone,0
1976,The Pink Panther Strikes Again,0
1976,The Ritz (film),0
1976,Silent Movie,0
1977,The Goodbye Girl,1
1977,Annie Hall,0
1977,High Anxiety,0
1977,"New York, New York (1977 film)",0
1977,Saturday Night Fever,0
1978,Heaven Can Wait (1978 film),1
1978,California Suite (film),0
1978,Foul Play (1978 film),0
1978,Grease (film),0
1978,Movie Movie,0
1979,Breaking Away,1
1979,Being There,0
1979,Hair (film),0
1979,The Rose (film),0
1979,10 (film),0
1980,Coal Miner's Daughter (film),1
1980,Airplane!,0
1980,Fame (1980 film),0
1980,The Idolmaker,0
1980,Melvin and Howard,0
1981,Arthur (1981 film),1
1981,The Four Seasons (1981 film),0
1981,Pennies from Heaven (1981 film),0
1981,S.O.B. (1981 film),0
1981,Zoot Suit (film),0
1982,Tootsie,1
1982,The Best Little Whorehouse in Texas (film),0
1982,Diner (film),0
1982,My Favorite Year,0
1982,Victor Victoria,0
1983,Yentl (film),1
1983,The Big Chill (film),0
1983,Flashdance,0
1983,Trading Places,0
1983,Zelig,0
1984,Romancing the Stone,1
1984,Beverly Hills Cop,0
1984,Ghostbusters,0
1984,Micki + Maude,0
1984,Splash (film),0
1985,Prizzi's Honor,1
1985,Back to the Future,0
1985,A Chorus Line (film),0
1985,Cocoon (film),0
1985,The Purple Rose of Cairo,0
1986,Hannah and Her Sisters,1
1986,Crimes of the Heart (film),0
1986,Crocodile Dundee,0
1986,Down and Out in Beverly Hills,0
1986,Little Shop of Horrors (film),0
1986,Peggy Sue Got Married,0
1987,Hope and Glory (film),1
1987,Baby Boom (film),0
1987,Broadcast News (film),0
1987,Dirty Dancing,0
1987,Moonstruck,0
1988,Working Girl,1
1988,Big (film),0
1988,A Fish Called Wanda,0
1988,Midnight Run,0
1988,Who Framed Roger Rabbit,0
1989,Driving Miss Daisy,1
1989,The Little Mermaid (1989 film),0
1989,Shirley Valentine (film),0
1989,The War of the Roses (film),0
1989,When Harry Met Sally...,0
1990,Green Card (film),1
1990,Dick Tracy (1990 film),0
1990,Ghost (1990 film),0
1990,Home Alone (film),0
1990,Pretty Woman,0
1991,Beauty and the Beast (1991 film),1
1991,City Slickers,0
1991,The Commitments (film),0
1991,The Fisher King (film),0
1991,Fried Green Tomatoes (film),0
1992,The Player (1992 film),1
1992,Aladdin (1992 Disney film),0
1992,Enchanted April (1992 film),0
1992,Honeymoon in Vegas,0
1992,Sister Act,0
1993,Mrs. Doubtfire,1
1993,Dave (film),0
1993,Much Ado About Nothing (1993 film),0
1993,Sleepless in Seattle,0
1993,Strictly Ballroom,0
1994,The Lion King,1
1994,"The Adventures of Priscilla, Queen of the Desert",0
1994,Ed Wood (film),0
1994,Four Weddings and a Funeral,0
1994,Prêt-à-Porter (film),0
1995,Babe (film),1
1995,The American President,0
1995,Get Shorty (film),0
1995,Sabrina (1995 film),0
1995,Toy Story,0
1996,Evita (1996 film),1
1996,The Birdcage,0
1996,Everyone Says I Love You,0
1996,Fargo (film),0
1996,Jerry Maguire,0
1997,As Good as It Gets,1
1997,The Full Monty,0
1997,Men in Black (1997 film),0
1997,My Best Friend's Wedding,0
1997,Wag the Dog,0
1998,Shakespeare in Love,1
1998,Bulworth,0
1998,The Mask of Zorro,0
1998,Patch Adams (film),0
1998,Still Crazy,0
1998,There's Something About Mary,0
1999,Toy Story 2,1
1999,Analyze This,0
1999,Being John Malkovich,0
1999,Man on the Moon (film),0
1999,Notting Hill (film),0
2000,Almost Famous,1
2000,Best in Show (film),0
2000,Chicken Run,0
2000,Chocolat (2000 film),0
2000,"O Brother, Where Art Thou?",0
2001,Moulin Rouge!,1
2001,Bridget Jones's Diary (film),0
2001,Gosford Park,0
2001,Legally Blonde,0
2001,Shrek,0
2002,Chicago (2002 film),1
2002,About a Boy (film),0
2002,Adaptation (film),0
2002,My Big Fat Greek Wedding,0
2002,Nicholas Nickleby (2002 film),0
2003,Lost in Translation (film),1
2003,Bend It Like Beckham,0
2003,Big Fish,0
2003,Finding Nemo,0
2003,Love Actually,0
2004,Sideways,1
2004,Eternal Sunshine of the Spotless Mind,0
2004,The Incredibles,0
2004,The Phantom of the Opera (2004 film),0
2004,Ray (film),0
2005,Walk the Line,1
2005,Mrs Henderson Presents,0
2005,Pride & Prejudice (2005 film),0
2005,The Producers (2005 film),0
2005,The Squid and the Whale,0
2006,Dreamgirls (film),1
2006,Borat,0
2006,The Devil Wears Prada (film),0
2006,Little Miss Sunshine,0
2006,Thank You for Smoking (film),0
2007,Sweeney Todd: The Demon Barber of Fleet Street (2007 film),1
2007,Across the Universe (film),0
2007,Charlie Wilson's War (film),0
2007,Hairspray (2007 film),0
2007,Juno (film),0
2008,Vicky Cristina Barcelona,1
2008,Burn After Reading,0
2008,Happy-Go-Lucky (2008 film),0
2008,In Bruges,0
2008,Mamma Mia! (film),0
2009,The Hangover,1
2009,500 Days of Summer,0
2009,It's Complicated (film),0
2009,Julie & Julia,0
2009,Nine (2009 live-action film),0
2010,The Kids Are All Right (film),1
2010,Alice in Wonderland (2010 film),0
2010,Burlesque (2010 musical film),0
2010,Red (2010 film),0
2010,The Tourist (2010 film),0
2011,The Artist (film),1
2011,50/50 (2011 film),0
2011,Bridesmaids (2011 film),0
2011,Midnight in Paris,0
2011,My Week with Marilyn,0
2012,Les Misérables (2012 film),1
2012,The Best Exotic Marigold Hotel,0
2012,Moonrise Kingdom,0
2012,Salmon Fishing in the Yemen,0
2012,Silver Linings Playbook,0
2013,American Hustle,1
2013,Her (film),0
2013,Inside Llewyn Davis,0
2013,Nebraska (film),0
2013,The Wolf of Wall Street (2013 film),0
2014,The Grand Budapest Hotel,1
2014,Birdman (film),0
2014,Into the Woods (film),0
2014,Pride (2014 film),0
2014,St. Vincent (film),0
2015,The Martian (film),1
2015,The Big Short (film),0
2015,Joy (film),0
2015,Spy (2015 film),0
2015,Trainwreck (film),0
2016,La La Land (film),1
2016,20th Century Women,0
2016,Deadpool (film),0
2016,Florence Foster Jenkins (film),0
2016,Sing Street,0
2017,Lady Bird (film),1
2017,The Disaster Artist (film),1
2017,Get Out,0
2017,The Greatest Showman,0
2017,"I, Tonya",0
2018,Green Book (film),1
2018,Crazy Rich Asians (film),0
2018,The Favourite,1
2018,Mary Poppins Returns,0
2018,Vice (2018 film),0
2019,Once Upon a Time in Hollywood,1
2019,Dolemite Is My Name,0
2019,Jojo Rabbit,0
2019,Knives Out,1
2019,Rocketman (film),0
